,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,labels,filename,utt_label
0,35.90328,0.105544165,32.292206,35.82827,40.17695,7.8847427,39.537598,1.7481298,80.90617,0.0,0.20380595,0.5122724,0.12470216,0.16367453,0.27155444,0.14685228,2.3039203,2.048243,1.2448592,0.42899427,0.058181517,0.8710795,23.54142,0.30710948,-1.2805957,-6.437846,12.782406,0.52965724,-8.765352,-0.73740655,0.019374125,0.55043525,1.3865182,0.39423814,6.448042,0.24464922,8.37683,1.2541918,31.901993,0.123035364,629.1808,0.3080736,1424.1449,0.114577495,-176.90355,-0.3435925,1641.3135,0.15779127,1196.1614,0.13281895,-170.16708,-0.38245106,2704.6836,0.09821564,1057.9185,0.19912146,-171.81241,-0.35728946,-14.600921,-0.32453406,28.20221,0.15445362,0.025412876,0.43880475,-0.01341206,-0.7060745,0.10329671,0.46506837,31.109274,0.24992271,5.8957686,1.7153815,4.3932476,1.761573,-13.252395,-0.6107782,-9.316146,18.07105,0.0059814956,0.0014278268,0.050043393,2.714932,1.388889,0.11333333,0.046427958,0.4375,0.3645802,-39.120384,q,Ses01F_impro03,Ses01F_impro03_M000
1,32.65921,0.11473922,31.224361,33.115875,35.275383,4.0510216,64.656586,25.477917,86.66563,111.37128,0.5016944,0.7418333,0.17092898,0.35494053,0.91984797,0.748919,4.8726006,3.7368984,3.6146758,1.8163519,0.19451526,0.9095068,27.240522,0.27656603,-9.360454,-1.2694957,12.424057,1.0852982,-16.404066,-1.0194014,0.02509615,1.0226461,1.3659755,0.6819524,4.8534217,0.78289205,5.03446,1.7611157,17.065657,0.51823866,527.351,0.4137586,1329.2253,0.1446636,-107.61309,-0.872862,1553.7606,0.16031766,1007.37775,0.2205197,-104.31052,-0.86735487,2601.434,0.0936663,1050.3496,0.45237353,-108.09359,-0.8039533,-9.626901,-0.64887214,19.832495,0.36172307,0.03477076,0.6925558,-0.0110774115,-1.0434669,0.28695437,0.61925,29.645546,0.2056833,-12.756824,-1.0093819,12.820641,1.2251967,-21.682486,-0.79896235,-8.478005,19.100271,0.0114243515,-0.0013562726,0.104761265,2.1052632,3.2142859,0.14777777,0.121726274,0.1411111,0.16481939,-27.931723,ans,Ses01F_impro03,Ses01F_impro03_F000
2,30.121479,0.13006482,26.022423,31.22035,32.8966,6.874176,63.862446,35.350628,112.40335,115.50083,0.40451464,0.77703565,0.14665957,0.30478984,0.5905148,0.44385523,3.7005973,4.5568357,3.1149788,2.7263079,0.13846774,1.0242168,26.900063,0.30810156,-11.880629,-0.83967316,12.968051,0.7813356,-9.838679,-1.1833364,0.028294975,1.010759,1.1362764,0.4134083,2.607953,1.0974663,0.48800257,12.231801,13.867915,0.46134338,503.24533,0.37101856,1306.7301,0.14576265,-135.97253,-0.6376883,1490.1803,0.1501806,1011.56805,0.14590026,-133.53934,-0.6471719,2534.6057,0.07101837,904.1152,0.40080607,-137.36613,-0.59260166,-6.5640593,-0.6342806,19.323977,0.22062044,0.029275017,0.74086046,-0.006398928,-1.649676,0.2619444,0.67945623,31.189795,0.19516648,-18.45743,-0.50789976,7.353926,1.3574461,-18.681368,-0.712705,-7.431333,17.484676,0.0091846725,0.0024799842,0.07992414,1.9512196,4.0,0.07625,0.053604454,0.17428571,0.27644977,-30.669823,ag,Ses01F_impro03,Ses01F_impro03_M001
3,33.174564,0.05838918,31.976238,32.823982,33.731297,1.7550583,30.833818,21.260378,-0.074882984,10.451764,0.5377393,0.77257454,0.17675048,0.32994574,0.9843067,0.8075562,8.166439,7.283129,6.222033,4.7254677,0.14824265,0.99193054,22.570566,0.41149247,-16.642242,-0.7591961,20.655346,0.6189231,-8.094116,-1.146121,0.01567219,1.727101,1.045772,0.7317675,6.6395297,0.57755333,0.1741015,32.55499,2.5367956,2.9556642,500.04312,0.3553045,1213.022,0.17859675,-122.2424,-0.7674035,1567.9116,0.09502793,831.4594,0.23507844,-120.16307,-0.7719982,2551.7922,0.06933172,1105.9021,0.37493932,-119.55707,-0.7825319,-3.3083122,-1.5561235,10.495809,0.8910707,0.02845654,0.53001004,-0.020275755,-0.58460766,0.2516668,0.6001319,29.672264,0.2121968,-26.681452,-0.43062913,23.875908,0.72243416,-12.637726,-0.8292364,-4.8457446,12.74971,0.003629024,0.0012956491,0.07812553,3.4985425,1.47929,0.274,0.23888072,0.31666666,0.24321917,-28.264996,s,Ses01F_impro03,Ses01F_impro03_F001
4,36.007183,0.11763189,32.945724,35.16908,38.987965,6.04224,340.1302,467.1558,45.754486,25.132784,0.5943702,0.8201211,0.27392238,0.44116676,0.7948216,0.52089924,4.6062255,3.0668678,4.0022054,2.3361852,0.26058307,1.11666,23.154072,0.44298175,-11.71887,-0.91364497,18.335938,0.6151042,-9.3767805,-1.2673508,0.027357537,0.8848921,1.4777431,0.45079616,6.062506,0.5309431,2.2668982,4.964263,12.44435,0.6771652,595.4789,0.44569248,1296.462,0.23324564,-145.20853,-0.57001615,1637.115,0.14876014,970.3162,0.3857074,-135.57272,-0.6117107,2666.0784,0.09464328,951.1877,0.33346117,-136.68782,-0.5974973,-9.9270525,-0.6512374,19.308044,0.41663375,0.04257929,0.48222774,-0.01524524,-0.7846077,0.4540138,0.841545,27.842857,0.24440649,-12.699871,-1.109883,18.28032,0.6892774,-13.163897,-0.9657228,-4.9370522,13.802334,0.010720591,-0.00030968705,0.16100782,2.1212122,3.0769231,0.106,0.13024592,0.17999999,0.15291114,-25.266245,q,Ses01F_impro03,Ses01F_impro03_M002
5,37.31474,0.078905925,35.185425,37.4442,38.76206,3.5766335,109.073,116.74715,84.47393,70.57893,0.9397805,0.77688855,0.26413473,0.6331048,1.7805692,1.5164344,14.507138,4.875786,8.846171,5.2815833,0.50122124,0.9885709,25.983507,0.29112336,-14.658544,-0.9973718,18.997602,0.5911443,-15.116364,-1.3342413,0.025252055,1.163249,1.2000258,0.6054688,6.9031653,0.5459511,3.2581089,3.5747666,12.695545,0.59499264,650.7398,0.40526122,1264.9763,0.20567809,-99.79841,-0.90103644,1681.9305,0.14578958,1031.7223,0.41210654,-85.77211,-0.9849021,2721.2676,0.1019802,1005.7376,0.41174927,-87.540375,-0.9517418,-10.967724,-0.7372196,19.594814,0.5134831,0.047582533,0.5744798,-0.019259352,-0.6748099,0.6528639,0.7218537,27.695967,0.21829093,-14.776532,-1.1400154,16.961641,0.6978321,-20.185001,-1.1232966,-6.050779,14.387911,0.015525264,-0.0067311223,0.28448606,2.34375,2.7888446,0.21714285,0.10898417,0.12142857,0.12597376,-19.968946,ans,Ses01F_impro03,Ses01F_impro03_F002
6,43.812737,0.12425411,38.916405,42.556896,48.398903,9.482498,119.26353,87.678635,200.07205,167.70868,1.4807926,1.0626439,0.3124517,0.79931676,2.5487928,2.2363412,25.329502,15.039136,21.471767,14.414713,1.0410357,1.351486,18.741291,0.468433,-21.392502,-0.7445812,5.6321845,2.7102568,-10.710865,-1.0316237,0.03783157,1.1796507,1.4447995,0.5569201,5.4526315,0.8220454,7.3366137,1.078908,13.703752,0.48409578,916.0615,0.28034657,1302.0446,0.2465075,-130.79219,-0.67646074,1843.3105,0.123427965,1153.3732,0.2062104,-113.94173,-0.7861527,2837.0225,0.080916494,1081.5437,0.44330776,-117.47066,-0.7312283,-6.023613,-1.7158638,18.4228,0.54783183,0.038061596,0.7121015,-0.005708465,-2.0401704,1.4158325,1.0679265,19.147875,0.48736778,-21.93856,-0.85521424,3.0632482,5.1844387,-10.953586,-1.1752295,-2.2232108,11.764288,0.031383313,-0.0006190329,0.7535074,2.2727275,3.3248084,0.12769231,0.11341916,0.16333334,0.1286684,-13.609573,q,Ses01F_impro03,Ses01F_impro03_M003
7,45.373783,0.11465543,41.864784,43.535076,50.417072,8.552288,129.75105,88.80384,142.12926,156.17407,1.6434113,0.8971655,0.42271042,1.0968617,2.6655698,2.2428594,23.788599,12.967532,21.745686,13.569342,1.1313845,1.1804004,17.21945,0.48809823,-27.026691,-0.43813038,4.388159,2.93398,-16.314032,-0.5827339,0.04047708,1.1266923,1.4312756,0.5701104,4.0917873,0.9963096,5.7841573,1.6673788,12.013327,0.5103128,848.30225,0.3565198,1282.487,0.2390556,-141.36594,-0.6121974,1784.5977,0.14606851,1133.2971,0.20084444,-116.86937,-0.7838943,2728.668,0.09139584,1065.7875,0.43466043,-119.713425,-0.738745,-1.5467417,-3.4161723,12.344636,0.36843926,0.04613828,0.5143802,-0.014498474,-0.8287465,1.66375,0.82714635,16.66083,0.49542105,-33.07407,-0.27917948,-0.26876605,-41.41227,-20.944878,-0.37202972,-1.4124466,10.632266,0.03624815,-0.0042110686,0.75215816,3.0434783,3.5164838,0.11125,0.085137755,0.17214285,0.1625765,-13.513742,oth,Ses01F_impro03,Ses01F_impro03_F003
8,38.920776,0.1073914,35.806423,38.189724,40.484978,4.6785545,277.76328,277.33496,70.102875,85.000114,1.1307038,0.61295515,0.5763882,0.92733526,1.600617,1.0242288,10.927853,8.411053,8.674989,3.6530492,0.5843895,0.72574234,23.024122,0.3516229,-16.69971,-0.8396304,14.979315,0.70924276,-11.630566,-1.1143384,0.03583548,1.2824503,1.138126,0.55202574,7.282866,0.5173264,8.233036,1.3418754,14.609456,0.56063545,743.7205,0.3580379,1255.0149,0.17582662,-130.75615,-0.66250587,1713.8125,0.11835435,1077.5328,0.34932277,-111.26553,-0.78587383,2727.8418,0.07809296,1012.3351,0.400397,-114.307594,-0.7363966,-7.514549,-0.8694715,16.928692,0.4765208,0.04998904,0.3654932,-0.010796184,-1.1522374,0.6517178,0.67124,24.139294,0.33500284,-18.76257,-0.88921905,16.609047,0.74961716,-13.863009,-0.96420103,-6.6688447,15.537378,0.051245306,-0.012464991,0.5405775,3.90625,4.0,0.11,0.08809086,0.13222222,0.07627112,-19.009193,q,Ses01F_impro03,Ses01F_impro03_M004
9,37.458748,0.08313879,35.314144,37.35532,39.78806,4.473915,71.18748,69.25167,55.372566,48.308704,1.3142889,0.6140348,0.6120463,1.0502512,1.9954005,1.3833542,13.604446,4.621151,9.281169,4.2895837,0.65970236,0.80059737,25.365723,0.29728508,-20.650023,-0.67833775,18.472881,0.7713726,-14.333319,-0.9089019,0.024295717,2.2389727,0.9667502,0.5643129,7.522252,0.48276353,7.866008,1.6249297,12.041361,0.684696,671.53015,0.4298808,1250.8356,0.20434086,-105.27243,-0.84905875,1678.0107,0.13914515,970.46564,0.3221454,-80.14276,-1.0677454,2699.7249,0.10702826,973.66895,0.27097633,-81.56999,-1.0372937,-6.671008,-0.95381755,13.852773,0.55139667,0.057411794,0.38791496,-0.016648782,-0.85961205,0.75470203,0.7115355,26.061213,0.26728326,-22.31205,-0.6905625,21.69992,0.63256335,-15.022014,-0.9539934,-6.510519,15.346195,0.0409102,-0.015806373,0.51897424,3.1914895,2.9649596,0.20636363,0.21605018,0.11,0.05799686,-17.285261,ans,Ses01F_impro03,Ses01F_impro03_F004
