,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,labels,filename,utt_label
0,33.340755,0.08227916,29.821419,34.18318,36.15213,6.3307114,156.74901,123.48744,10.241794,5.063131,0.69424903,0.64994466,0.19316532,0.6858552,1.1197864,0.9266211,3.711745,1.6562612,4.2217126,1.4938182,0.2713624,0.7551326,22.620409,0.298189,-6.936694,-0.87671936,12.804351,0.83811057,-13.513223,-0.7809428,0.017889638,0.8745685,0.9792318,0.46640533,6.505135,0.5139709,-3.7547536,-2.7663414,12.721088,0.42683017,564.9167,0.27017838,1365.9601,0.12700042,-155.07617,-0.49777484,1529.3927,0.111549184,1197.8889,0.19158988,-151.97371,-0.51661444,2645.691,0.099072516,943.42596,0.22807305,-154.09003,-0.48661867,-10.0957,-0.44429687,22.111546,0.18576895,0.021890203,0.79781115,-0.010816125,-0.8943425,0.46042806,0.30714032,25.547731,0.22405803,-11.046772,-0.698814,4.6789937,2.7210033,-16.759928,-0.9923338,-7.626434,16.311607,0.0027401347,-0.005394249,0.20085739,2.994012,2.484472,0.095,0.057227615,0.2875,0.16663957,-25.004438,oth,Ses01M_script03_2,Ses01M_script03_2_M000
1,32.894596,0.17211787,29.313778,31.859783,36.02811,6.7143326,151.76042,157.32869,21.990917,8.727471,0.6623134,0.56162655,0.33161467,0.53164077,1.0476933,0.7160786,5.7409334,1.850628,2.6745048,0.9790254,0.25559792,0.6877159,28.337778,0.2897554,-5.5139422,-1.9230144,11.61961,0.9603855,-11.580552,-1.1242638,0.020897532,1.2359587,1.1613052,0.4477878,6.3165703,0.40510496,0.4090117,19.391619,21.82595,0.3523049,560.363,0.3145548,1406.0276,0.13955942,-82.754715,-1.1240714,1552.3141,0.10882182,1043.0048,0.13699001,-86.02226,-1.0048774,2689.4238,0.07244306,851.52374,0.2646942,-91.29588,-0.90036327,-13.199761,-0.37773156,24.170849,0.20588128,0.03412115,0.5563931,-0.012973335,-0.66584784,0.28883353,0.6054121,31.924723,0.18491437,-6.1793346,-2.048066,9.017792,1.3258181,-12.644818,-1.1524006,-8.185791,16.607214,0.002635741,-0.0057891076,0.20594804,2.1212122,2.1604939,0.27857143,0.22395334,0.16428572,0.11974462,-25.356262,o,Ses01M_script03_2,Ses01M_script03_2_F000
2,28.001076,0.10826063,24.750969,29.1623,30.86509,6.1141205,256.1549,385.6843,39.306595,44.83311,0.582858,0.56334525,0.30423245,0.42659503,0.90753907,0.60330665,5.2351623,2.9883213,5.0887113,3.256543,0.1952298,0.59717655,36.145756,0.21826874,-4.109534,-2.9606452,17.360388,0.33024964,-0.59256893,-17.446663,0.01931035,1.7980975,1.141852,0.64691937,5.9993596,0.49232468,2.4577858,2.5670445,25.168722,0.29932284,680.5457,0.4002116,1351.0232,0.12833868,-56.10188,-1.4039923,1677.0082,0.1491291,1085.038,0.16540399,-60.175144,-1.2299614,2772.783,0.11304315,966.70514,0.33576337,-67.54863,-1.0385077,-13.372953,-0.3531558,23.34852,0.29454738,0.03190894,0.7085988,-0.010570375,-0.9765287,0.20644306,0.55899626,38.11522,0.13665666,-6.3099084,-2.0728333,16.419378,0.3557824,1.3802093,6.619436,-12.81945,22.568085,0.010008168,-0.006320108,0.17698874,3.7634408,3.888889,0.18428572,0.10182016,0.06333333,0.04109609,-25.806944,s,Ses01M_script03_2,Ses01M_script03_2_M001
3,28.42655,0.10152501,24.749016,29.17433,31.18423,6.435215,371.2622,378.34387,21.603884,18.13191,0.31580764,0.46590447,0.19688201,0.29739207,0.3925919,0.19570988,2.3101792,1.0468887,1.2587882,0.8625153,0.09677254,0.5603166,32.569588,0.3136248,-1.0255686,-9.7627325,19.374105,0.3932596,-7.0026836,-1.4348866,0.016217383,0.86520344,1.051023,0.54777837,5.6170497,0.47317913,1.8205577,3.5669167,26.519817,0.3027741,558.30347,0.36724296,1398.8752,0.12119591,-101.74873,-0.92082304,1642.3839,0.1200697,1023.2963,0.17126267,-106.830894,-0.8148017,2718.8794,0.103915356,1182.8458,0.38660538,-110.779976,-0.75221944,-17.420883,-0.31536597,27.482492,0.26398382,0.018235652,1.00752,-0.012004242,-0.98641723,0.11318849,0.47849658,38.566807,0.09787671,-0.62034065,-15.053746,23.152723,0.21275364,-3.4717643,-2.856462,-11.451839,19.782507,0.006897528,-0.009072838,0.08254449,3.0534353,2.7237356,0.17999999,0.15955295,0.16714284,0.122557774,-33.37342,o,Ses01M_script03_2,Ses01M_script03_2_F001
4,29.123703,0.04310823,27.76741,29.156336,30.103127,2.3357162,17.236359,13.669691,5.585155,4.379332,0.19902359,0.5020136,0.11323192,0.13835505,0.30471742,0.1914855,2.2288587,1.5878419,0.9197618,0.57096136,0.05459538,0.6371277,31.125118,0.22818653,-0.828853,-8.171877,18.250435,0.3709115,-5.271619,-1.3861829,0.014491505,0.74790496,0.8541576,0.7512901,7.7649326,0.19023697,0.16640502,28.053797,29.333992,0.12203114,599.60864,0.30374938,1451.5055,0.09899563,-137.60281,-0.6433471,1705.4402,0.096060604,1069.4834,0.17294303,-143.1138,-0.5643209,2812.523,0.06925637,1248.47,0.40207338,-145.5176,-0.5317966,-21.034388,-0.19423771,30.817728,0.21371207,0.012302173,1.5268989,-0.009103609,-1.0925623,0.08589222,0.37926516,40.03094,0.09230892,3.8981774,1.7999009,24.571022,0.19902651,-0.14960419,-52.70896,-11.861763,20.609734,0.00093991775,-0.0025743179,0.04084752,2.3584907,0.9661836,0.33499998,0.205,0.68,0.44,-36.75329,b,Ses01M_script03_2,Ses01M_script03_2_M002
5,29.701813,0.12009016,26.259468,29.590845,32.247116,5.987648,42.312195,34.603863,40.521324,74.10461,0.40801284,0.6997973,0.13282694,0.34339583,0.673568,0.5407411,4.251908,2.4649196,4.143868,2.3618727,0.13642843,0.8509419,32.78012,0.333264,-3.8194036,-2.81137,16.26284,0.77487063,-6.7042427,-1.6583244,0.0177402,1.9045644,1.0648553,0.6616922,7.375255,0.31310067,3.3993614,2.990427,27.769827,0.29092428,669.0585,0.39448407,1372.6266,0.18344855,-93.53927,-1.0200353,1657.1261,0.15240952,1046.2965,0.2824547,-92.92966,-0.9713527,2772.4385,0.10471554,919.7922,0.2995852,-98.64772,-0.86601126,-14.37795,-0.33657676,25.543316,0.2719416,0.0422853,0.45863342,-0.009156348,-1.701919,0.19706708,0.5200027,39.506252,0.19237824,-6.1406302,-2.1011043,15.37655,0.99781346,-5.934801,-2.2420707,-11.53383,20.160538,-0.00075016305,0.0016299329,0.055963363,2.8301888,1.3333334,0.42428568,0.23390211,0.26624998,0.32252666,-27.273739,s,Ses01M_script03_2,Ses01M_script03_2_M003
6,31.657509,0.13733238,28.832846,31.738575,33.268955,4.4361095,128.07455,96.419685,48.636482,33.10103,0.31929258,0.5077138,0.18269937,0.27348593,0.4486521,0.2659527,2.642913,1.3799857,1.2376581,0.7353708,0.114572875,0.82062787,29.034166,0.29779866,-6.231043,-1.9588381,14.524937,0.82278156,-14.997821,-0.9162473,0.020931095,1.1866837,1.2685627,0.391775,5.2001886,0.6029147,4.038766,2.1923437,24.381334,0.37504616,577.8384,0.3353355,1392.3699,0.10756289,-130.01134,-0.69415593,1656.4916,0.1568282,1101.2347,0.2670052,-131.1869,-0.647974,2746.8167,0.108730435,1093.1415,0.3886649,-134.53651,-0.60130733,-14.992173,-0.49350637,27.423496,0.2746419,0.023639435,0.8862735,-0.019408135,-0.5651092,0.1645567,0.6751988,36.04023,0.13782388,-1.332991,-7.8699346,13.192209,1.138337,-18.05478,-1.0377212,-8.920304,17.852476,0.007550976,-0.00334528,0.086102664,3.282276,2.4444444,0.14636363,0.10481783,0.266,0.2695997,-33.420902,dag,Ses01M_script03_2,Ses01M_script03_2_F002
7,27.353245,0.16591622,23.440754,25.944397,33.046562,9.605808,199.96342,247.86655,82.398544,39.434017,0.26013803,0.60853416,0.12138789,0.2289209,0.35291535,0.23152745,3.8118277,2.5099878,2.3391478,1.4285476,0.09271425,1.2273241,27.841702,0.39443648,-0.8373123,-14.205307,14.871058,0.8610179,-8.668801,-1.0029945,0.028592419,1.0628643,1.2788414,0.5141045,4.6550703,0.49380302,8.20441,0.7735455,30.29518,0.23003337,566.15076,0.35975423,1431.6245,0.15670276,-140.85574,-0.6051379,1589.2682,0.12907395,1089.196,0.29684874,-142.73392,-0.56161505,2670.9697,0.08750295,999.08093,0.24600989,-145.07121,-0.5303028,-15.7253065,-0.36209077,26.807344,0.23486456,0.016867707,1.3447052,-0.009259041,-1.1320281,0.128111,0.705043,35.686558,0.22025551,1.8403807,5.357472,18.473732,0.83955616,-4.1844645,-2.2064357,-9.877152,18.933533,0.0042369086,-0.0018367363,0.06362215,2.5000002,2.542373,0.11666667,0.06407461,0.255,0.30636305,-32.723255,s,Ses01M_script03_2,Ses01M_script03_2_M004
8,42.055923,0.2661571,32.434708,43.256382,53.510048,21.07534,65.59236,29.125246,114.14909,60.84411,0.6935378,0.6705877,0.23717286,0.59947425,1.0954591,0.85828626,7.8420253,3.36345,3.87926,2.9857278,0.38580447,1.2336124,24.681702,0.518182,-10.572745,-1.539793,11.126254,1.5211504,-13.6807165,-0.9699837,0.027087051,1.4261663,1.2353301,0.4930559,7.14491,0.5673504,9.360581,0.9709936,20.00196,0.5669129,837.42444,0.3334975,1277.4484,0.31491584,-111.167366,-0.8084344,1786.5554,0.13603452,1110.8832,0.30708933,-98.477425,-0.8815907,2824.6606,0.09192949,904.5593,0.4201724,-101.9614,-0.8159069,-9.695527,-0.80567646,21.820621,0.4001127,0.032937758,0.8542947,-0.009572281,-1.2456441,0.51901525,1.100659,25.714468,0.4174978,-16.120678,-1.0731916,8.91518,2.199815,-13.269727,-1.070627,-7.943253,17.817879,0.025296444,-0.006799538,0.22304636,2.4070024,3.097345,0.17142856,0.1252915,0.15166667,0.15550098,-22.315928,s,Ses01M_script03_2,Ses01M_script03_2_F003
9,31.59717,0.17983757,25.419107,32.829666,36.39673,10.977621,95.73954,57.72033,50.825138,36.453,0.6435697,0.8658431,0.21497461,0.40192804,1.1254064,0.91043174,7.899392,5.5762205,7.60637,5.0921044,0.28799373,1.2080836,22.633614,0.6380135,0.65023935,18.885256,14.865607,0.86172885,-15.390537,-0.6822668,0.02188995,1.25263,1.1048113,0.5989786,6.418663,0.53525156,12.113747,0.86041397,26.15386,0.29126838,662.4741,0.36224523,1291.6178,0.14711136,-127.12679,-0.7009994,1697.6212,0.16965772,1055.8455,0.34256735,-118.13412,-0.7396047,2755.564,0.08870495,870.6352,0.37376815,-120.83009,-0.69940037,-12.59511,-0.45210662,22.520414,0.28204727,0.046739336,0.5528591,-0.008348209,-1.5477301,0.48470965,0.80315745,32.81671,0.3033504,-5.274928,-2.6091082,15.542783,0.98972386,-16.310352,-0.7914824,-6.762255,13.843638,0.004748989,-0.00062401296,0.13184957,2.3255816,2.6178012,0.162,0.13052203,0.2188889,0.1623059,-21.245644,s,Ses01M_script03_2,Ses01M_script03_2_M005
