,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,labels
0,37.04049,0.043344446,35.530006,36.89391,39.03602,3.506012,23.427107,0.0,4.887257,5.7429366,0.17473495,0.5664783,0.11548223,0.13403122,0.21728554,0.10180331,2.984185,2.2893608,1.0093814,0.990073,0.042843927,0.9478711,20.361464,0.28595564,0.37020445,17.42192,19.372812,0.52401006,-11.390264,-0.78383523,0.0155774625,0.76403606,0.87208074,0.6465488,10.57603,0.18044145,16.114342,0.31694266,20.150492,0.2858983,652.10767,0.3641531,1345.9224,0.12091787,-173.96155,-0.359813,1828.5779,0.13021526,828.30023,0.28050122,-171.59851,-0.35887155,2795.3708,0.0701192,1036.425,0.27597836,-170.90504,-0.36919662,-17.276058,-0.3338901,22.739431,0.32061186,0.03028326,0.44032905,-0.0069402414,-1.5143367,0.10995402,0.4724214,25.220352,0.29021212,6.773053,1.0686374,34.67187,0.3319678,-15.025718,-1.0429057,-9.501215,17.563242,-0.0014350009,0.0019979416,0.02993049,2.5906737,1.0638298,0.155,0.13499999,0.50666666,0.34778666,-37.742,xx
1,28.338924,0.04560817,26.46605,28.98742,29.397781,2.9317322,10.662617,0.0,7.430274,5.9327974,0.16385211,0.42851073,0.09980232,0.14692357,0.20395462,0.1041523,0.96816397,0.5371,0.8142551,0.67741466,0.035406258,0.6565623,23.991827,0.34253746,-1.1428179,-6.395226,16.697401,0.50936794,-14.191171,-0.61394036,0.017209155,1.148114,1.2265208,0.5143008,6.2869873,0.24776788,-4.613584,-1.1992831,21.492922,0.31860992,553.088,0.32464874,1343.6335,0.15278096,-161.75235,-0.47369814,1568.8597,0.12622152,1028.0499,0.16519909,-164.0838,-0.4321487,2657.319,0.05640328,936.68475,0.21221776,-166.06964,-0.4033832,-16.272726,-0.3251661,27.485844,0.18216711,0.015869057,1.0341457,-0.01730467,-1.1450015,0.06871972,0.29394004,36.715908,0.19996464,1.9094174,4.9103017,14.095774,1.1333425,-12.013174,-1.2087522,-9.799923,17.287294,-0.0012405402,-0.001677478,0.027427843,1.7301039,1.0563381,0.18333334,0.13274871,0.555,0.65117204,-42.20485,qy
2,33.765507,0.028518317,32.79939,33.96169,34.718174,1.9187851,0.0,0.0,-0.2518876,0.0,0.20013902,1.1672078,0.094380744,0.10426613,0.17888416,0.08450342,0.73024213,0.51738095,1.8888323,0.0,0.07024578,1.7099161,24.971191,0.19531728,-5.6468196,-1.9877205,15.238397,0.4304058,-9.508515,-0.69064724,0.020861484,0.69349873,1.2774944,0.36977005,4.5924616,0.7952438,10.402721,1.2257236,25.151289,0.5779481,596.83887,0.21655115,1441.5209,0.10474618,-184.22864,-0.288376,1736.6755,0.092018165,1193.2742,0.35064408,-185.81757,-0.259724,2578.6206,0.085842624,1168.2847,0.35198104,-185.9968,-0.2565798,-14.721427,-0.4983329,19.588024,0.47527793,0.039099313,0.7355421,-0.012293191,-1.0189366,0.30528572,0.4859334,27.561447,0.15605396,-5.0037327,-3.338199,32.313465,0.2464838,-17.832678,-0.3452163,-9.707348,19.747955,0.00016075722,0.002213256,0.051167514,0.729927,0.7575758,0.099999994,0.0,0.59499997,0.065,-35.053112,ny
3,26.115223,0.03183963,26.178118,26.220549,26.453306,0.27518845,30.850515,21.656666,6.355454,0.0,0.1220405,0.3699119,0.09199733,0.104225114,0.14511314,0.053115807,0.9005376,0.6150407,0.61338973,0.41853634,0.026354983,0.5047934,23.589685,0.28352544,2.4163442,2.5552993,15.483492,0.31892726,-8.878619,-0.58226043,0.015175158,1.213568,1.0739871,0.43886098,6.6469426,0.18967833,-4.7985363,-1.025403,24.370594,0.22453858,519.6826,0.41376743,1323.2911,0.13809654,-181.41656,-0.31475362,1603.6757,0.14948055,1010.43427,0.20664787,-183.3632,-0.27988133,2666.9597,0.12210721,923.0031,0.24220912,-183.81442,-0.27174214,-20.581825,-0.16704087,29.796595,0.16915555,0.016685246,1.3115302,-0.005109593,-1.17475,0.05631722,0.31729582,33.308395,0.18848573,10.556541,0.46198744,24.223421,0.17896892,-2.6849158,-2.2902572,-11.844749,21.142689,-0.0041811727,0.0005986344,0.02315478,1.8817204,0.5449591,0.175,0.13499999,1.09,1.0523624,-45.351364,ad
4,33.93002,0.08002587,31.300814,32.69867,37.084625,5.7838116,34.955708,0.0,3.8620734,6.02105,0.17810754,0.9369809,0.09052323,0.103455275,0.21995223,0.129429,2.0268202,2.26994,2.767163,2.2171943,0.049587253,1.3439839,26.850779,0.3143426,-3.657801,-1.8678896,14.143711,0.5971323,-13.042281,-0.5405197,0.021511473,0.9502744,1.1994083,0.37529296,6.2822475,0.28849047,1.074742,4.609971,24.138144,0.35603747,599.4318,0.36430505,1381.4718,0.13620874,-172.9278,-0.38125822,1587.9486,0.18461682,1191.0054,0.31858844,-171.81168,-0.3835061,2731.6504,0.11122382,1072.0385,0.4488119,-174.18578,-0.34646356,-9.521754,-0.59144866,26.951885,0.2398655,0.034814883,0.5282721,-0.0063001476,-1.3493258,0.1846392,0.43447426,38.848972,0.21307805,-8.990067,-1.2950891,0.22393997,43.048923,-16.098377,-0.70969164,-10.965648,19.571915,-0.0023428902,-0.00094381097,0.025375227,1.2820513,0.9771987,0.14999999,0.008164966,0.84666663,0.95073074,-37.175972,qy
5,33.152016,0.111138895,30.622576,32.85902,36.75911,6.1365337,18.307425,10.678561,108.23834,123.643166,0.2733093,0.62055284,0.12578729,0.23888199,0.3933823,0.26759502,2.4650836,1.6639991,2.0194829,1.4598747,0.101331525,0.791374,31.18718,0.277836,-1.254005,-7.7580686,11.862812,1.0077114,-11.552175,-0.91182333,0.02354999,0.8838551,1.4553542,0.52576965,6.5639153,0.3781774,5.473325,1.6904728,27.05378,0.31483117,650.45514,0.3676543,1346.3884,0.130968,-130.22679,-0.6660137,1723.1672,0.16978335,1067.8264,0.21950673,-129.61096,-0.63673913,2798.0928,0.0959694,1022.56134,0.38679832,-132.8786,-0.58993554,-15.200688,-0.47499022,27.079327,0.23850726,0.03774006,0.54697895,-0.014607538,-1.0664319,0.16721101,0.43915007,35.361847,0.21706183,-0.9739903,-12.779763,10.860518,1.3657054,-14.665549,-0.92236686,-12.727839,23.137308,0.004809725,-0.006490126,0.06064048,3.1358886,3.5460994,0.102,0.040199503,0.15799999,0.18197802,-33.286324,qw
6,33.86099,0.0910779,30.643318,33.37872,37.35259,6.7092705,47.872433,0.0,-69.54989,0.0,0.2417304,0.85951245,0.11980334,0.14375487,0.3208021,0.20099875,2.9885614,2.3932743,2.7680273,2.5802386,0.08512629,1.2910607,23.752293,0.2337586,-3.5172784,-1.9004747,22.214815,0.6189714,-13.387202,-0.49105066,0.02232886,1.0999388,1.1373048,0.73678064,6.8669515,0.45232317,10.685003,0.9815203,16.792686,0.26428613,663.921,0.45815057,1364.5929,0.10103232,-178.01608,-0.32844508,1836.7136,0.13874495,1059.1992,0.34417284,-171.3871,-0.36787945,2763.287,0.12319917,954.3702,0.2922606,-170.85965,-0.3757435,-15.578963,-0.16355789,22.359447,0.16708718,0.037366226,0.7749673,-0.01190164,-0.95703757,0.23617463,0.5184738,26.674088,0.16973108,2.0651617,5.049768,43.32551,0.21867795,-17.803612,-0.53802365,-9.980231,17.97879,0.0029379737,-0.0044100545,0.057318863,2.027027,1.3986014,0.11,0.02,0.3866667,0.27860764,-32.74977,xx
7,34.745926,0.08273937,32.64418,34.46202,38.024273,5.3800926,36.152683,19.043602,28.911345,15.789891,0.40738374,0.8004609,0.09418404,0.36296847,0.63131815,0.5371341,5.346413,3.204125,4.8420024,1.4681083,0.1588886,0.870171,28.994083,0.25262588,-4.2772737,-3.0492163,23.626583,0.55975145,-8.977747,-0.98414934,0.015167493,0.98524,1.1916281,0.59836966,8.063963,0.36669567,9.811981,1.0254271,19.18161,0.48074472,659.93146,0.36808553,1409.5621,0.1720175,-114.08881,-0.80370426,1738.4469,0.1260469,1041.7052,0.27424437,-108.01308,-0.8195725,2680.951,0.10537407,1181.4507,0.3360718,-109.50143,-0.7937124,-13.277172,-0.49247223,20.4241,0.36769706,0.038870223,0.49550092,-0.013241466,-0.782837,0.23762807,0.5083043,31.089302,0.261388,-6.8902125,-2.3361802,27.004128,0.5384606,-9.897005,-0.97490203,-12.324541,21.241163,0.0041260542,-0.0024286986,0.07239385,2.647059,1.497006,0.33400002,0.37451833,0.39,0.46233103,-28.369654,sd
8,31.562061,0.06043959,30.532066,31.48881,32.807808,2.2757416,63.111313,51.911705,15.739437,9.608992,0.36277717,0.5102579,0.1956069,0.34671462,0.5146623,0.31905544,3.3837726,1.7452211,2.740251,1.2350773,0.14786373,0.6958129,32.07395,0.23238045,-3.0301874,-3.9917796,19.00198,0.7413387,-6.093645,-1.5155084,0.01803528,0.9422648,1.3927832,0.4399934,6.215924,0.37535477,2.8046963,3.3555245,24.125616,0.31609556,591.32385,0.42697066,1280.6613,0.13843715,-105.90238,-0.8871872,1654.9116,0.16428834,1007.5799,0.26546586,-107.61615,-0.81330323,2688.366,0.11095025,991.4846,0.24088104,-110.73031,-0.76212007,-14.868176,-0.36048463,24.351114,0.23964708,0.038289998,0.48200658,-0.011747316,-1.147962,0.18502064,0.5114656,33.977818,0.20762399,-2.7566342,-5.0614123,19.128923,0.7597469,-8.424821,-1.1038105,-11.786508,21.927021,0.01373775,-0.0029168937,0.11382541,3.5164838,2.8888888,0.16615385,0.092697896,0.16,0.21107782,-31.0895,sd
9,38.51381,0.092953995,35.39789,38.0521,41.956284,6.5583954,35.268684,21.738628,91.886246,81.58927,0.58847725,0.8487793,0.12646349,0.49523112,0.96800256,0.8415391,8.23162,4.296912,7.7007875,4.9739585,0.29712266,1.0839486,26.052639,0.3386623,-3.7258356,-2.793461,9.993304,1.0867682,-20.398272,-0.82451606,0.028107848,1.5236136,1.4096478,0.5300526,6.799222,0.44160092,10.055679,1.0928493,24.37698,0.39046696,741.2091,0.29541257,1458.9694,0.17427586,-131.70105,-0.66131204,1736.3085,0.12949331,1157.7942,0.24105078,-123.63077,-0.688819,2850.2395,0.08236227,906.9666,0.27005476,-125.54024,-0.6606292,-11.773385,-0.5940555,22.960367,0.3263338,0.05160391,0.4032828,-0.0156209385,-1.0405918,0.4963222,0.69239503,29.807182,0.27192676,-6.3104568,-2.2262068,8.143817,1.6884882,-27.423466,-0.68778497,-10.365214,20.525822,0.019310217,-0.0052223294,0.15766564,2.4875622,3.2745593,0.11923076,0.061201,0.1775,0.26344272,-23.216234,qw
