,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,labels
0,30.22151,0.12275748,28.965471,29.83083,34.41097,5.4454975,404.6875,0.0,16.48861,17.573444,0.16269633,0.6248842,0.10153751,0.11936049,0.21940373,0.11786622,1.3049101,1.0281394,2.5554163,2.0916483,0.040271997,0.9656663,24.365416,0.24525943,-0.47121766,-12.655653,18.234924,0.44175896,-6.161919,-1.0269165,0.026705313,1.4245479,1.0194926,0.4405916,6.9083486,0.3118239,11.083641,0.45687792,25.183697,0.29227147,650.27545,0.23011218,1439.2844,0.09144289,-160.8863,-0.46358937,1710.7346,0.08489829,1029.121,0.26191524,-162.61261,-0.43404642,2737.313,0.06249126,961.76196,0.19723594,-163.50964,-0.42110324,-15.569714,-0.29482383,23.814285,0.31530255,0.0062294095,3.1462746,-0.01731926,-0.51558495,0.093884334,0.57992584,31.416622,0.23350707,3.962586,1.9899107,24.092442,0.46063808,-7.0804234,-1.4793162,-11.1453085,18.437439,-0.005634144,0.002225455,0.026119756,1.2903227,1.3114754,0.155,0.06538348,0.468,0.55743694,-39.139133,qw
1,32.48739,0.057620436,30.65961,32.146084,34.86029,4.20068,60.052586,68.273,14.704541,5.208706,0.18545999,0.7829009,0.096559085,0.102926366,0.26280096,0.16624188,2.7524312,1.9228402,4.0345197,3.4752774,0.051361334,1.0994229,25.9491,0.3843806,-0.08386937,-96.81194,18.211596,0.52606535,-4.9067206,-1.2594364,0.016651712,0.77728075,1.2191663,0.51698667,8.156494,0.28767928,9.529218,0.6785787,29.913345,0.27065033,622.2778,0.3035189,1435.2931,0.09471847,-160.79933,-0.47344667,1698.7181,0.110027865,1073.3462,0.18089464,-161.40248,-0.44316322,2736.164,0.08816376,1112.9813,0.2627303,-163.1628,-0.41768438,-16.485611,-0.3059214,26.139067,0.3020929,0.023063427,0.97925293,-0.010501984,-1.0475082,0.119591534,0.62618583,35.832607,0.21651436,1.7669622,4.1923094,17.364664,0.76644003,-7.6329474,-0.90966994,-10.952873,16.846846,-0.004593104,0.0019425504,0.03254482,1.6997167,1.1494253,0.185,0.120519705,0.53,0.44806248,-35.734303,sv
2,32.130287,0.197916,26.012728,30.285992,38.99592,12.983191,112.95858,0.0,238.98836,0.0,0.121342406,0.53471273,0.09635732,0.10093037,0.10763657,0.011279248,0.12250544,0.079009496,0.57283545,0.0,0.031153081,0.8462622,27.423683,0.17165202,-3.2424755,-1.5580896,14.741062,0.45783535,-6.8348594,-0.8528867,0.064613715,0.18111789,1.8492285,0.44816422,2.4278486,0.9407926,2.7728865,2.7170482,21.62594,0.48252484,602.42,0.2680809,1277.4838,0.061108317,-195.74489,-0.14942609,1614.1417,0.14916505,1108.3182,0.2139481,-194.73781,-0.15795211,2658.3018,0.11834081,841.11066,0.11182724,-195.06227,-0.14992303,-11.593296,-0.28404602,24.703102,0.06402774,0.027867489,0.2141544,-0.025898607,-0.08451039,0.119251594,0.27632207,35.94133,0.068122886,-8.996695,-1.2248554,-4.8910117,-0.9615638,-24.341946,-0.2360516,-12.278188,18.991074,-0.009034495,0.00072141027,0.02852835,0.32051283,0.65146583,0.04,0.01,0.97999996,0.6718631,-45.391666,sd
3,36.737347,0.10876986,32.121487,36.82969,40.121666,8.000179,182.58759,220.55533,55.027866,36.913517,0.2660887,0.9192927,0.10158016,0.12404988,0.4372716,0.33569145,4.5378346,2.439122,3.5356183,2.624952,0.092011504,1.1874268,26.381144,0.2980605,-4.791577,-2.0281014,14.195858,0.5874797,-8.650502,-1.0598221,0.036320735,1.7745166,1.2006721,0.63182086,6.9765368,0.37821147,6.9677887,1.3924041,20.45119,0.36465895,641.61725,0.3626513,1434.498,0.13975236,-159.26254,-0.47651574,1650.1227,0.12509426,1089.1329,0.16760455,-153.52335,-0.505878,2726.8928,0.09774993,1166.6305,0.27909422,-156.0075,-0.47129357,-9.969465,-0.55635494,20.962675,0.3809805,0.025073936,0.900738,-0.0120582115,-0.89882463,0.216893,0.5074191,31.029491,0.31973627,-12.104332,-1.0141008,13.33414,0.9525532,-13.313864,-0.80795497,-11.537693,19.213634,-0.0028980046,-0.0001019432,0.04961608,1.9120458,1.5444016,0.1575,0.0812019,0.4675,0.48948315,-33.55075,sd
4,27.269796,0.04493296,26.216291,27.313158,28.305498,2.0892067,56.313087,32.283577,10.75089,9.944979,0.124935456,0.44954515,0.09406337,0.09895658,0.153873,0.059809625,1.0087492,0.75943804,0.7325383,0.5095699,0.032827538,0.67845196,29.6462,0.1934711,-1.4623184,-2.8072753,14.436825,0.45719624,-5.251324,-0.8047889,0.024835521,0.4787704,1.3625519,0.38040623,3.0138505,0.6064234,0.5544609,5.2333636,26.858477,0.23303105,543.3117,0.35253164,1427.0646,0.13212086,-175.11491,-0.3615193,1520.2063,0.13038091,1146.9708,0.10141912,-175.71165,-0.34505498,2609.3625,0.099895835,1001.9018,0.18453765,-177.20131,-0.3217207,-14.465404,-0.3865681,27.385918,0.093373425,0.006568029,2.5233054,-0.0031716,-3.1269443,0.070376165,0.3466759,37.791054,0.15705532,1.3452234,6.591917,10.78544,1.2442726,-4.377928,-1.719171,-12.757299,19.597881,-0.00521719,0.0032090677,0.027096696,1.1976048,0.9118541,0.14333333,0.13912426,0.6975,0.68838125,-44.987022,sd
5,34.224895,0.07027309,31.634327,34.64894,36.539894,4.905567,55.96477,0.0,13.924218,0.0,0.16876058,0.74117017,0.098222956,0.13647084,0.19915235,0.100929394,2.056739,0.956276,11.105096,19.899143,0.05366638,1.7732244,23.437357,0.26950565,-1.0042928,-5.566541,16.716541,0.3235253,-4.7835236,-1.3922471,0.038284045,0.41998604,0.9901541,0.50510985,8.242773,0.18805608,8.664648,0.7020929,27.202358,0.2849076,622.1577,0.2962103,1532.3206,0.12003336,-190.74493,-0.2013893,1643.7794,0.1116796,1171.5125,0.22567998,-187.68854,-0.22895338,2733.9893,0.08943714,1054.2195,0.2170338,-188.07709,-0.22158587,-20.3795,-0.08075871,31.239882,0.06799379,0.017162243,0.8872932,-0.004411332,-1.1961036,0.08947219,0.60749847,34.51438,0.0873072,7.8494387,0.6160029,19.491604,0.23722966,-5.998607,-1.6024638,-10.666141,18.468403,-0.0075158793,0.0039251223,0.05159983,2.145923,0.877193,0.08,0.01,1.03,0.32999998,-38.82483,qw
6,25.133064,0.053957164,23.786072,24.91694,26.286907,2.5008354,50.223812,68.95778,12.823337,9.357648,0.15998174,0.41364574,0.10986685,0.12653932,0.22218576,0.11231891,0.94600827,0.6533969,0.7476408,0.48394492,0.039671898,0.50587046,28.871302,0.25168222,-2.0174575,-2.8933504,14.499675,0.44959706,-5.3514667,-1.0914714,0.011246087,0.8628805,1.1262146,0.45848545,3.9647462,0.42698556,1.0551747,6.8762646,22.82616,0.3959117,502.8957,0.34877235,1360.7416,0.13828595,-152.17195,-0.5453082,1504.2205,0.14012901,1092.4755,0.17317897,-154.76279,-0.5066525,2540.8179,0.102182046,1024.7867,0.22548562,-157.13628,-0.47298872,-13.547104,-0.3309076,24.918818,0.18786792,0.02344083,0.6349267,-0.00943512,-1.2223401,0.063568816,0.2679231,38.25439,0.113110706,-3.136099,-2.8128908,10.521671,0.9125307,-5.980526,-1.5025476,-11.674574,19.833372,-0.0060601206,0.0033706916,0.031986207,1.8783543,1.2578616,0.18642856,0.13657059,0.54866666,0.66188484,-43.041,sd
7,32.713276,0.06186819,30.390917,32.933285,34.637638,4.2467213,99.174126,96.99711,19.072752,11.654856,0.17922258,0.51181394,0.11088042,0.14717536,0.2341429,0.12326248,2.5295525,2.2506368,2.1730354,1.5770675,0.05522135,0.7233233,28.192274,0.26339644,-2.0129302,-3.096482,17.998564,0.4470824,-3.295717,-2.2065651,0.029467763,0.64773774,1.2103149,0.54214203,6.3679986,0.35692725,7.3331633,1.1027658,24.411882,0.32481778,659.9182,0.3098057,1380.2385,0.122033216,-157.58795,-0.4829025,1719.4266,0.12039698,1022.1869,0.17749889,-157.03922,-0.4668244,2770.2793,0.09731515,1098.4723,0.223997,-158.61281,-0.44567108,-16.04807,-0.27881998,24.784145,0.26303664,0.0066564074,3.1359043,-0.010092533,-1.0094727,0.09893094,0.4583267,33.76079,0.20541842,0.42658538,15.529347,21.63818,0.58181345,-4.5632024,-2.3679926,-11.926018,20.140326,-0.009870077,0.0025437947,0.041440748,2.4324327,1.6438357,0.14166667,0.080294594,0.38142857,0.42646152,-39.39878,qw
8,20.33694,0.00409242,20.275324,20.331758,20.397524,0.12220001,0.06788889,0.0,0.0,0.0,0.12336904,0.16734123,0.11054248,0.115160815,0.12609391,0.0155514255,0.28917378,0.12221578,0.22235817,0.14904082,0.031757243,0.32285497,29.405924,0.119934715,-3.6837013,-0.6981154,15.146962,0.3203212,-3.5652344,-0.93059176,0.0011574735,0.0,1.1220661,0.013256661,2.1153312,0.21749304,12.703591,0.14846343,34.677746,0.041702945,1025.2412,0.011155483,1383.9098,0.1323256,-197.88268,-0.101484,2021.9508,0.0036705895,1793.6718,0.08707297,-198.00485,-0.09738025,2962.8848,0.011143147,1067.8365,0.06047844,-198.10773,-0.094081655,-15.416456,-0.0116730165,28.095772,0.010065963,-0.025225068,-0.23441967,0.0020485278,1.0502176,0.05097284,0.036582164,34.87203,0.024483416,-0.4115776,-0.40683633,15.9198265,0.11127621,2.4428227,0.520695,-12.444633,20.969732,-0.010072776,0.0039220257,0.031777672,4.3010755,0.5524862,0.02,0.0,0.88,0.049999997,-47.813393,sd
9,29.896673,0.023638515,29.218727,29.918476,30.550146,1.331419,72.828026,88.83993,10.164809,4.586835,0.14777774,0.46350533,0.10219258,0.11249137,0.1972571,0.09506452,1.3241696,1.2372507,1.0121933,0.7329646,0.034525204,0.5072094,28.957037,0.24723639,-3.195319,-1.3334016,18.197973,0.41510072,-4.596869,-1.59514,0.01709881,0.63264954,1.1683578,0.5298812,5.854082,0.2871239,6.676061,0.66605455,26.714548,0.26500255,617.2896,0.27564397,1526.7072,0.13507019,-154.37263,-0.5206378,1662.33,0.123409025,1162.8977,0.2177739,-154.60245,-0.49729228,2644.7847,0.09838946,1182.8866,0.29558706,-156.2636,-0.47397128,-15.690334,-0.2707024,24.58428,0.19342412,0.011737339,1.7444918,-0.011920853,-0.93911,0.056325894,0.36423767,37.654545,0.13047838,-1.0377101,-6.0790076,18.67563,0.7160925,-5.4838157,-1.9937879,-11.457607,18.288115,-0.008378413,0.0058831354,0.027129183,1.6227181,1.0245901,0.242,0.11373653,0.5933333,0.5476515,-43.083744,sd
