Unnamed: 0,utt_id,EDA,filename,session_number,speaker,start,end,utterance,original_order,file_name_base
0,0,sd,Ses01M_impro07,1,M,2.6812,7.98,Check this out.  You know how I've told you I've been really into like softball recently?,0,Ses01M_impro07_M000
1,0,b,Ses01M_impro07,1,F,7.63,8.57,Yeah.,1,Ses01M_impro07_F000
2,1,sd,Ses01M_impro07,1,M,8.22,14.75,"Well, this is totally random, I got this full ride scholarship to go to U.S.C next year to play softball.",2,Ses01M_impro07_M001
3,1,qy,Ses01M_impro07,1,F,13.95,21.12,[LAUGHTER]. For softball? That's unbelievable. Is it slow pitch?,3,Ses01M_impro07_F001
4,2,qy,Ses01M_impro07,1,M,15.54,20.67,For softball.  They're going to pay me to go to school. Isn't that awesome?,4,Ses01M_impro07_M002
5,3,sd,Ses01M_impro07,1,M,20.92,34.38,"Yeah.  Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit.  But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here.",5,Ses01M_impro07_M003
6,2,b,Ses01M_impro07,1,F,23.88,25.25,Uh huh.,6,Ses01M_impro07_F002
7,3,sd,Ses01M_impro07,1,F,27.06,29.81,Pinch hitting softball.,7,Ses01M_impro07_F003
8,4,sv,Ses01M_impro07,1,F,30.31,33.08,That is incredible.,8,Ses01M_impro07_F004
9,5,sv,Ses01M_impro07,1,F,33.72,37.27,That's amazing. They pay for everything?,9,Ses01M_impro07_F005
10,4,sd,Ses01M_impro07,1,M,34.76,38.66,"I know. For softball, yeah.",10,Ses01M_impro07_M004
11,6,xx,Ses01M_impro07,1,F,37.88,42.5825,"Your housing, books, everything? That is incredible.",11,Ses01M_impro07_F006
12,5,sd,Ses01M_impro07,1,M,38.78,48.28,"Yeah, everything. Every like- free ride and I get to, you know, like be on like a Trojans sports team too. And it's like cool. Isn't it awesome?",12,Ses01M_impro07_M005
13,7,qy,Ses01M_impro07,1,F,45.145,49.2825,That is incredible. Do you get like a per diem?,13,Ses01M_impro07_F007
14,6,sd,Ses01M_impro07,1,M,48.73,52.86,"I don't know. I should ask. Yeah, I will.",14,Ses01M_impro07_M006
15,8,sv,Ses01M_impro07,1,F,49.64,52.1,You should...You should look into that.,15,Ses01M_impro07_F008
16,9,fc,Ses01M_impro07,1,F,52.46,57.4562,"That is amazing, congratulations. Good for you.",16,Ses01M_impro07_F009
17,7,fc,Ses01M_impro07,1,M,54.63,56.31,Thank you.,17,Ses01M_impro07_M007
18,8,sd,Ses01M_impro07,1,M,56.53,61.35,But I don't know I want to live in the housing that they give me though 'cause I think I want to you know like get like a nicer place.,18,Ses01M_impro07_M008
19,10,b,Ses01M_impro07,1,F,58.78,60.21,Oh.,19,Ses01M_impro07_F010
20,11,sv,Ses01M_impro07,1,F,60.81,66.77,"Yeah, that you probably. You should see one of these Victorian houses around by.",20,Ses01M_impro07_F011
21,9,qw,Ses01M_impro07,1,M,61.59,63.56,Where should I move?,21,Ses01M_impro07_M009
22,10,sd,Ses01M_impro07,1,M,66.3983,78.9,"That's a really good idea. Or I could go to like Santa Monica. Go beach. Venice beach, yeah a little dirty though. I don't want to go to Venice beach. But - Malibu. All right.",22,Ses01M_impro07_M010
23,12,xx,Ses01M_impro07,1,F,68.64,72.35,Oh. Venice beach.,23,Ses01M_impro07_F012
24,13,qy,Ses01M_impro07,1,F,72.84,76.23,"Oh, you don't like that. You're west-sider?",25,Ses01M_impro07_F013
